1,Michael,Robecon,970,10/12/2015,30/12/1989,12,3,2761 Gateway Center,7193849808
2,Romy,Parley,816,15/11/2004,15/02/1988,26,7,03 Marquette Trail,3414735701
3,Sutherland,Tourot,886,30/06/2007,25/06/1991,86,10,513 Oak Valley Court,9183974467
4,Gilemette,Cavee,1077,01/09/2021,25/07/1998,23,7,01 Clarendon Hill,2097988513
5,Hugibert,Chrishop,1297,04/04/2004,19/01/1989,13,8,80 Ryan Street,5412939646
6,Lesley,Linnemann,954,05/05/2009,09/09/1980,26,8,8 Merrick Pass,8809551611
7,Perceval,Rameaux,1077,27/12/2018,06/09/1993,97,1,958 Swallow Road,3777956281
8,Cornela,Yeude,898,25/09/2006,13/08/1985,51,5,390 Farwell Point,8244378223
9,Jefferson,Marielle,879,23/08/2003,12/07/1996,64,5,48392 Maywood Plaza,5694882858
10,Desmond,Burth,1100,22/09/2014,23/06/1996,20,7,416 Northridge Court,7702030855
11,Vernen,Kenn,848,15/07/2013,21/04/1985,14,10,35397 Lyons Alley,5007743456
12,Vasilis,Hebdon,1090,16/02/2001,20/11/1986,39,2,396 Chinook Center,3134885316
13,Melisent,Garnsworthy,963,23/03/2006,08/10/1987,92,6,372 Texas Park,9585809354
14,Sheila,Pregal,1066,10/05/2009,25/10/1993,2,3,97 Warbler Hill,4682907080
15,Odetta,Joost,1161,18/10/2003,25/01/1996,34,10,46 Manley Lane,5932128583
16,Barton,Cockitt,1030,24/01/2014,19/03/1989,37,4,8 Florence Terrace,6378042494
17,Janaye,Rawlence,1212,27/10/2010,09/11/1995,49,3,2 Nelson Crossing,4691918897
18,Elwood,Risdall,1097,04/07/2016,17/10/1980,22,9,3223 Anzinger Street,4521379218
19,Borden,Belcham,967,07/07/2004,16/03/1993,2,8,14 Dixon Avenue,4763186278
20,Hasheem,Munkley,913,09/10/2009,26/10/1980,40,1,7 Dixon Trail,6012107097
21,Shelby,Chadburn,1466,05/11/2017,17/02/1987,61,10,9116 Vahlen Point,1764657906
22,Charles,Yitzhakov,913,19/03/2014,25/02/1994,9,5,02191 Vidon Trail,7462863346
23,Matthias,Tithecott,860,27/02/2008,22/10/1992,27,10,78471 6th Alley,3173197865
24,Nicolea,Phillis,850,09/06/2005,04/03/1985,62,3,9841 Nova Pass,9508553988
25,Kaitlynn,Yearron,912,13/09/2012,20/07/1992,23,5,1875 International Hill,5256909289
26,Marianne,O'Farris,1221,11/06/2002,02/06/1988,69,8,1557 Heath Way,5493195285
27,Frankie,Henrys,1003,11/07/2001,20/01/1984,90,1,1069 Quincy Court,2824727579
28,Dulcinea,Tremayne,1336,01/05/2013,04/03/1997,68,1,22734 Larry Center,7602046701
29,Ange,Guiver,1461,15/05/2020,03/06/1982,80,2,17 Morrow Park,4436148212
30,Othello,Lincey,1057,11/09/2018,05/01/1995,39,1,41499 Forster Drive,1125890604
31,Lilah,Jodlowski,1375,25/12/2002,03/02/1991,40,1,1 Weeping Birch Place,8407342339
32,Elizabet,Burd,1467,20/06/2019,04/10/1994,30,6,845 Express Alley,5334813440
33,Webb,Guyan,1124,07/04/2008,29/12/1989,75,1,95 Katie Park,1317648197
34,Camel,Tennet,1216,16/06/2001,20/11/1988,15,7,00 Northland Pass,1292498216
35,Kelby,Wickwar,821,12/09/2009,12/07/1999,12,6,86 Summer Ridge Crossing,1768108700
36,Lucky,Sulland,1004,03/08/2012,12/04/1981,73,9,1392 Columbus Way,7012500300
37,Billy,Dict,1061,06/10/2005,24/11/1994,73,6,8 Longview Alley,3161991452
38,Steward,Pellissier,1256,13/11/2013,04/07/1998,56,5,358 Meadow Vale Point,1255846372
39,Bale,Paull,911,09/07/2016,15/12/1987,90,7,0694 Iowa Park,5484927445
40,Kalila,Henrych,990,30/04/2010,04/01/1981,11,1,156 Veith Drive,6933541775
41,Hube,Iltchev,1131,07/01/2005,22/12/1990,33,6,553 Kropf Street,7237560476
42,Bord,Beeze,1187,21/08/2014,14/01/1995,77,3,64347 Northfield Point,9137975752
43,Wynny,Issit,1432,29/08/2016,30/04/1987,47,9,125 Mendota Court,3101397272
